Employer,Union,Union Local,Case Number,BU,NAICS,Industry,"City, State",# Idled,Start Date,End Date,Duration
UIC MEDICAL CENTER,SEIU 73,,202012040023,550.0,54.0,"Professional, Scientific &Tech Serv","Chicago, IL",550.0,2020-09-14,2020-09-24,11.0
UIC MEDICAL CENTER,SEIU 73,,202012040024,850.0,56.0,Support Serv. & Waste Management,"Chicago, IL",850.0,2020-09-14,2020-09-24,11.0
UIC MEDICAL CENTER,SEIU 73,,202012040025,1500.0,54.0,"Professional, Scientific &Tech Serv","Chicago, IL",1500.0,2020-09-14,2020-09-24,11.0
Youngstown State University,Ohio Education Association,,202012180058,,61.0,Educational Services,", ",400.0,2020-10-13,2020-10-16,4.0
ASARCO Multiple Unions,USW IBB IAM IUOE IBEW IBT,,202090080001,2108.0,21.0,Mining and Oil & Gas Extraction,"Tucson, AZ",2108.0,2019-10-14,,262.0
Waterlogic Americas LLC,UAJAPPF Local ,,2020N0400075,7.0,,Not Provided,"New Castle, DE",,2019-11-25,,37.0
St. Mary Medical Center,Pennsylvania Association of Staff Nurses and Allied Professionals N/A,,2020N0400353,821.0,62.0,Health Care and Social Assistance,"Conshohocken, PA",800.0,2020-11-17,2020-11-19,3.0
St. Mary Medical Center,Pennsylvania Association of Staff Nurses and Allied Professionals N/A,,2020N0400353,821.0,62.0,Health Care and Social Assistance,"Conshohocken, PA",800.0,2020-11-19,2020-11-21,3.0
Strippit Inc.,IAMAW District 65 1180,1180,2020N0400637,32.0,31.0,Manufacturing,"Akron, NY",33.0,2020-02-03,2020-02-07,5.0
Bannister House,NEHCEU 1199NE,1199NE,2020N0400680,145.0,62.0,Health Care and Social Assistance,"Providence, RI",135.0,2020-10-02,2020-10-04,3.0
Gledhill Road Machinery Company,IAMAW 1346,1346,2020N0400896,20.0,31.0,Manufacturing,"Galion, OH",22.0,2020-03-10,,53.0
Babbitt Bearings Inc.,"Rochester Regional Joint Board, Workers United 1947",,2020N0401279,25.0,31.0,Manufacturing,"Syracuse, NY",45.0,2020-06-03,,91.0
"MVP Transportation, Inc.",Amalgamated Transit Union 1181-1061 ,,2020N0402097,150.0,48.0,Transportation and Warehousing,"STATEN ISLAND, NY",150.0,2020-06-04,2020-06-09,6.0
"Xylem, Inc.",United Steelworkers 09832,,2020N0402106,175.0,31.0,Manufacturing,"Auburn, NY",,2020-07-27,,8.0
"MVP Transportation, Inc.",Amalgamated Transit Union 1181-1061 ,,2020N0402158,330.0,48.0,Transportation and Warehousing,"STATEN ISLAND, NY",330.0,2020-06-04,2020-06-09,6.0
East Liverpool City Hospital,Ohio Nurses Association N/A,,2020N0501106,130.0,62.0,Health Care and Social Assistance,"East Liverpool, OH",130.0,2020-11-21,2020-11-24,4.0
Glass Companies of Wisconsin area,IUPAT 1204,,2020N0501503,195.0,23.0,Construction,"Milwaukee, WI",137.0,2020-06-14,2020-06-22,9.0
Albion Industries Colson Group,IAM&AW District Lodge 60 435,,2020N0502160,54.0,31.0,Manufacturing,"Albion, MI",45.0,2020-09-29,,97.0
Coca Cola Bottling Company,IBT 20,,2020N0502457,90.0,31.0,Manufacturing,"Toledo, OH",90.0,2020-11-02,2020-11-19,18.0
Miller Tool & Die,IAMAW 435,,2020N0502585,22.0,31.0,Manufacturing,"Jackson, MI",20.0,2020-09-17,,15.0
AstenJohnson,IAMAW,,2020N0502607,87.0,31.0,Manufacturing,"Appleton, WI",87.0,2020-10-16,2020-10-26,11.0
Harvard University,Harvard Graduate Students Union UAW (HGSU-UAW) Local ,,2020N1000119,4200.0,61.0,Educational Services,"Boston, MA",,2019-12-03,,29.0
"Transdev Services, Inc. (Cinder Bed Road)",ATU Local 689,,2020N1000191,141.0,48.0,Transportation and Warehousing,"Fairfax County, VA",,2019-10-24,,69.0
TransDev Services,ATU 1764,1764,2020N1000284,600.0,48.0,Transportation and Warehousing,"Fairfax, VA",100.0,2019-12-05,,93.0
Exelon Power,Utility Workers 369,369,2020N1000427,38.0,22.0,Utilities,"Charlestown, MA",39.0,2020-03-07,2020-03-11,5.0
Bath Iron Works,international association of machinist and aerospace workers  s6,,2020N1000874,4000.0,31.0,Manufacturing,"Bath, MA",4300.0,2020-06-22,,43.0
ReConserve of Illinois Inc.,UFCW 881,881,2020N1200106,27.0,48.0,Transportation and Warehousing,"Hodgkin, IL",27.0,2020-11-02,2020-11-11,10.0
ReConserve of Illinois Inc.,UFCW 881,881,2020N1200131,6.0,,Not Provided,"Hodgkin, IL",6.0,2020-11-02,2020-11-11,10.0
Valley Fruit Produce Company - Warehouse,IBT 630,630,2020N1200189,140.0,48.0,Transportation and Warehousing,"Los Angeles, CA",,2020-05-25,,71.0
Valley Fruit Produce Company - Re-pack,IBT 630,630,2020N1200191,15.0,48.0,Transportation and Warehousing,"Los Angeles, CA",,2020-05-25,,71.0
IKEA Customer Fulfillment Center,IAMAW I-60,I-60,2020N1200710,180.0,48.0,Transportation and Warehousing,"Westampton, NJ",187.0,2020-01-20,2020-01-26,7.0
Cummins Filtration,UAW 1407,1407,2020N1200964,396.0,31.0,Manufacturing,"Cookeville, TN",,2020-03-08,,25.0
Northern Mechanical Contractors Association,Plumbers and Steam Fitters / United Association 11,,2020N1201207,360.0,23.0,Construction,"Duluth, MN",160.0,2020-10-26,,8.0
Eden Medical Center,IBT 856,,2020N1201574,142.0,62.0,Health Care and Social Assistance,"Castro Valley, CA",100.0,2020-12-14,2020-12-16,3.0
St. Francis Regional Medical Center,SEIU Healthcare Minnesota N/A,,2020N1202273,101.0,62.0,Health Care and Social Assistance,"Shakopee, MN",0.0,2020-10-05,2020-10-07,3.0
Allina Abbott - Northwestern Hospital,SEIU Healthcare Minnesota N/A,,2020N1202275,101.0,62.0,Health Care and Social Assistance,"Minneapolis, MN",101.0,2020-10-05,2020-10-06,2.0
Wise Alloys LLC,USW 200,,2020N1203638,387.0,31.0,Manufacturing,"Muscle Shoals, AL",400.0,2020-12-16,,19.0
Raynor Garage Doors (Shop Agt.,UBC - Chicago Regional Council of Carpenters 790,790,2020N1800444,330.0,23.0,Construction,"Dixon, IL",330.0,2020-03-09,2020-03-15,7.0
NLMK Steel,USW 1016-03,,2020N1801077,423.0,31.0,Manufacturing,"Farrell, PA",,2020-08-23,,134.0
Amita Health St. Joseph Medical Center,Illinois Nurses Association,,2020N1801267,800.0,62.0,Health Care and Social Assistance,"Joliet, IL",780.0,2020-07-04,2020-07-22,19.0
Infinity Healthcare Management of Illinois,SEIU Healthcare,,2020N1801783,940.0,62.0,Health Care and Social Assistance,"Hillside, IL",940.0,2020-11-23,,9.0
Johnson Controls Inc. - Test Lab,UAW 1872,,2020N1802519,60.0,31.0,Manufacturing,"York, PA",60.0,2020-09-28,,98.0
Gahanna Schools,OEA,,202111420001,570.0,61.0,Educational Services,"Gahanna, OH",6.0,2020-10-13,2020-10-18,6.0
Montefiore @ New Rochelle,NYSNA,,202112110004,225.0,62.0,Health Care and Social Assistance,"New Rochelle, NY",225.0,2020-12-01,2020-12-11,11.0
